Physical Time: Physical Time (s),InletDoor Monitor: Surface Average of RH,InletRHa Monitor: Surface Average of RH,InletRHb Monitor: Surface Average of RH,InletRHc Monitor: Surface Average of RH,InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s),InletVela Monitor: Surface Average of Velocity: Magnitude (m/s),InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s),InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s),a Monitor: Sum of RH,b Monitor: Sum of RH,c Monitor: Sum of RH,ç‚?1RH Monitor: Sum of RH,ç‚?2RH Monitor: Sum of RH,ç‚?3RH Monitor: Sum of RH,ç‚?4RH Monitor: Sum of RH,ç‚?5RH Monitor: Sum of RH,ç‚?6RH Monitor: Sum of RH,ç‚?7RH Monitor: Sum of RH,ç‚?8RH Monitor: Sum of RH,ç‚?9RH Monitor: Sum of RH,ç‚?0RH Monitor: Sum of RH,ç‚?1RH Monitor: Sum of RH,ç‚?2RH Monitor: Sum of RH,ç‚?3RH Monitor: Sum of RH,ç‚?4RH Monitor: Sum of RH,ç‚?5RH Monitor: Sum of RH,ç‚?6RH Monitor: Sum of RH,ç‚?7RH Monitor: Sum of RH,ç‚?8RH Monitor: Sum of RH,ç‚?9RH Monitor: Sum of RH,ç‚?0RH Monitor: Sum of RH,ç‚?1RH Monitor: Sum of RH
780,41.78649324,40.30644167,40.30643976,40.30642957,0,1,1,1,41.51199093,41.52164739,41.45663154,40.31487676,40.57492977,40.64648736,40.77496617,40.97538396,41.05384813,41.21572035,41.27575854,41.34721191,41.29133443,41.2238544,41.11066437,41.01902761,40.60628081,40.31375941,40.77776909,40.8847088,41.37691141,41.70875054,41.89535278,42.05674625
810,41.55943102,40.30644152,40.30644003,40.30642701,0,1,1,1,41.40420372,41.40955195,41.30463735,40.3140289,40.55626094,40.6286963,40.72376569,40.88447585,40.9733228,41.09306923,41.24817169,41.21307552,41.13176719,41.04055478,40.93744892,40.87747426,40.55857945,40.31285088,40.71988734,40.81782692,41.25047436,41.5313247,41.62802994,41.84841007
840,41.41520137,40.30644209,40.30644044,40.30642564,0,1,1,1,41.27196362,41.29491369,41.15308604,40.31259245,40.52495515,40.59474413,40.67356955,40.78998956,40.86089875,40.97150608,41.14595008,41.05796333,40.97384906,40.8932536,40.81405677,40.76982606,40.51059545,40.31239026,40.67831002,40.78771994,41.15720514,41.38244724,41.42589209,41.63703074
870,41.28679456,40.30644147,40.30643972,40.30642393,0,1,1,1,41.13149889,41.16508326,41.01831562,40.31163925,40.48992076,40.55070024,40.61600682,40.70446576,40.76824709,40.85667147,41.02393545,40.92471477,40.85184658,40.78879629,40.73241595,40.70227612,40.47181277,40.3116213,40.63187705,40.75860647,41.08478209,41.2574676,41.26243873,41.45550723
900,41.12118977,40.30644192,40.30644032,40.30642526,0,1,1,1,41.00639644,41.02669211,40.9122617,40.3108925,40.46120887,40.51365717,40.56362559,40.61422483,40.66750233,40.75825072,40.9138684,40.83373971,40.78289494,40.74412959,40.71125109,40.69092588,40.44119771,40.31092358,40.58081219,40.71083969,41.0060932,41.15052755,41.13793168,41.30302408
930,41.00405634,40.30644092,40.30644215,40.30640245,0,1,1,0,40.9604831,40.98998587,40.84065218,40.31069612,40.453181,40.50213188,40.54340929,40.5784407,40.6200267,40.6925862,40.92628921,40.89435158,40.88285798,40.88421552,40.90804304,40.94951924,40.83549215,40.3110323,40.50652256,40.6391664,40.8678734,41.04427341,41.0258807,41.18152213
960,40.89896672,40.30644369,40.30644135,40.30643095,0,1,1,0,40.94740935,40.96487601,40.78098325,40.31078714,40.4507131,40.50092092,40.54355017,40.56541784,40.59169054,40.66134357,40.93261127,40.92033751,40.91876791,40.92234236,40.92483909,40.91766448,40.76970637,40.31086014,40.4937025,40.59685976,40.7503467,40.94840761,40.934203,41.07915155
990,40.89224026,40.3064138,40.30644409,40.30643176,0,0,1,0,40.9416931,40.94424253,40.80066048,40.86098918,40.79094207,40.78258103,40.78741948,40.76611128,40.74762659,40.7478443,40.92349416,40.9116482,40.90713739,40.90024982,40.88476414,40.87015196,40.56578868,40.31093383,40.48983971,40.56650757,40.64243727,40.82732643,40.81843404,40.97087662
1020,40.89630117,40.3064299,40.30642864,40.30642686,0,0,0,0,40.92350704,40.93007746,40.82140574,40.80064638,40.88320367,40.87961053,40.88455893,40.87653704,40.847822,40.80643022,40.90963664,40.89408975,40.88519837,40.873945,40.85655758,40.84502129,40.77140018,40.83169426,40.79571045,40.77301338,40.74574869,40.78120433,40.78951742,40.9127733
1050,40.9041198,40.3064446,40.30643938,40.30643887,0,0,0,0,40.89979451,40.90757,40.83366902,40.56016645,40.90399242,40.90864436,40.91406705,40.91256776,40.8884161,40.84180282,40.89594001,40.87678133,40.86663614,40.85628993,40.84381338,40.83882018,40.75138488,40.7662783,40.86471737,40.82122845,40.78821423,40.77922822,40.78695211,40.87234484
1080,41.03564282,40.30643742,40.30643876,40.30643815,0,0,0,0,40.94364426,40.90866148,40.84169598,40.73931961,40.98220103,41.05727471,40.85680159,40.02891051,40.49357118,40.82541686,40.92788335,40.86859026,40.85832818,40.84938245,40.8371538,40.82103578,40.72820845,40.73482402,40.88445894,40.84036553,40.81583963,40.79757262,40.7959557,40.84908227
1110,40.16298247,40.30644392,40.30643691,40.30642139,0,0,0,0,40.95891593,40.92104435,40.81493034,40.45251988,40.90096732,39.72463647,37.77482823,39.29857806,39.47365946,40.69501544,40.93767474,40.86286902,40.85283587,40.8437699,40.8238063,40.78491293,40.72768826,40.84602509,40.89576327,40.85798747,40.83900355,40.82126812,40.80889098,40.83912885
1140,39.63730188,40.30656668,40.30643753,40.30608973,0,1,0,0,40.35703361,40.81361925,39.4883322,40.28913921,40.12338474,39.83666203,38.50936824,38.73824624,39.33792278,41.05291877,40.78184539,40.09064416,40.19453965,40.2906233,40.44007307,40.29945889,39.5643187,40.56553047,40.39886481,40.50595749,40.60462792,40.7277868,40.765513,40.82728831
1170,41.13106075,40.30661814,40.30643335,40.30632541,0,0,0,0,40.29421111,40.21426346,40.07657797,40.30239511,40.41311367,39.94270093,40.08026815,39.74318957,40.09738901,40.12879338,40.26846309,40.34925698,40.27067087,40.15587483,40.2099702,40.39094565,39.96306804,40.12026358,40.07362144,40.12339126,40.1741679,40.23469868,40.26027211,40.43740006
1200,40.64398203,40.3094363,40.30643456,40.30525692,0,0,0,0,40.07444109,40.23697954,40.35192232,40.19804193,40.4902329,40.47272304,41.32198484,40.76410778,40.35226889,40.40782064,40.23938286,40.42533841,40.36732568,40.37326617,40.20839696,40.28247758,40.1693454,40.35149978,40.16469928,40.15277826,40.15094587,40.1327881,40.13862916,40.33380357
1230,40.71888414,40.30764996,40.30633303,40.30572102,0,0,0,0,40.2498473,40.2394621,40.26649739,40.3519218,40.27202792,40.30758847,40.83523126,40.30905445,40.25492942,40.25885996,40.20671377,40.32321279,40.32866216,40.2892997,40.16491512,40.19790778,40.25652918,40.29883251,40.21891051,40.20106176,40.20004379,40.20080346,40.20662566,40.31004605
1260,40.50725742,40.30689652,40.30638988,40.30584599,0,0,0,0,40.22208919,40.25529286,40.34864893,40.27159503,40.22403985,40.16357422,40.46147946,40.51922631,40.27646461,40.06013776,40.26545116,40.27100322,40.27094722,40.25174378,40.2685973,40.27235756,40.34246568,40.260593,40.23327791,40.21202231,40.22600964,40.24004076,40.26331696,40.39464902
1290,40.2798466,40.305879,40.3063496,40.30567205,0,0,0,0,40.24335899,40.27799407,40.32750817,40.14659437,40.26225978,40.18807768,40.20688729,40.36808865,40.35498082,40.23586784,40.27169596,40.28621985,40.27874981,40.28818152,40.29717691,40.30173117,40.34742439,40.27315283,40.27133605,40.25050421,40.25074529,40.24508686,40.26549719,40.38225006
1320,40.22929713,40.30686226,40.30643746,40.30622992,0,0,0,0,40.28807086,40.283973,40.3256864,40.31889036,40.26567355,40.22406106,40.26766638,40.3657507,40.32440122,40.32495954,40.29098135,40.29211996,40.28689693,40.29420814,40.28566633,40.30391132,40.30539558,40.28039779,40.28528197,40.26334792,40.26469171,40.26080793,40.28221912,40.38279382
1350,40.25391791,40.3064506,40.30642945,40.30608002,0,0,0,0,40.2632778,40.28671299,40.31532601,40.26399597,40.26037368,40.22809079,40.2768106,40.31237696,40.31893855,40.30971034,40.2874597,40.28494462,40.28447609,40.29025696,40.2817075,40.30635613,40.31817622,40.28934766,40.28826423,40.27576382,40.27500119,40.27212161,40.28557042,40.32119305
1380,40.28116261,40.30654333,40.30648435,40.30632443,0,0,0,0,40.25722375,40.28290376,40.31423973,40.29121179,40.26529014,40.2775611,40.28090939,40.3331271,40.306211,40.30012827,40.28063643,40.28579686,40.28392536,40.28740203,40.2850742,40.29357491,40.24465465,40.2042325,40.28582684,40.28302328,40.27842638,40.27496981,40.28596691,40.31028664
1410,40.30258817,40.30647746,40.30644798,40.30634794,0,0,0,0,40.27480034,40.28044251,40.30095976,40.26402895,40.27837759,40.29317426,40.29182916,40.31045654,40.29933211,40.29221024,40.27619731,40.28578469,40.28324784,40.28266119,40.28519866,40.28895383,40.26929425,40.24797218,40.28353672,40.28379806,40.2822837,40.27991123,40.28537225,40.30807488
1440,40.30729869,40.30643867,40.30643057,40.30639747,0,0,0,0,40.28398773,40.28406635,40.2832335,40.28853555,40.29478587,40.30100416,40.30424855,40.29871772,40.29621254,40.29048892,40.28090332,40.28528411,40.28368824,40.28242488,40.28402414,40.28356343,40.29911614,40.33186756,40.28259908,40.28420385,40.28393535,40.28499155,40.28764061,40.30208734
1470,40.30519174,40.30642923,40.30643776,40.30641122,0,0,0,0,40.29245271,40.28293657,40.29138175,40.28476347,40.30219783,40.30117315,40.30485134,40.29171482,40.293546,40.28230873,40.28295942,40.28558295,40.28436013,40.28318147,40.28372912,40.28300796,40.29789639,40.39125986,40.28300143,40.28462638,40.28564831,40.286628,40.28749112,40.29731777
1500,40.29956425,40.30643301,40.30643952,40.30642556,0,0,0,0,40.2971957,40.28808648,40.29296275,40.30692489,40.30242896,40.29966681,40.29619937,40.29051115,40.28936936,40.28332263,40.28454938,40.28738567,40.28633296,40.28501607,40.28454825,40.28358519,40.28896141,40.35525755,40.28327646,40.28514444,40.28716111,40.28662796,40.28729673,40.29230618
