"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点01RH Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点07RH Monitor: Sum of RH","点08RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点14RH Monitor: Sum of RH","点15RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH","点21RH Monitor: Sum of RH"
1050,40.5591584600011,40.3064690377181,40.3064383751776,40.3064434324486,0,1,0,0,40.7030279679345,40.692157101336,40.4923002564136,40.3094417295013,40.3866538073134,40.4043573951174,40.4111873292657,40.414155713893,40.4169983623769,40.4264923147375,40.7126189549711,40.7001713464744,40.6911165833399,40.683783490885,40.6579297192734,40.6397255197489,40.4856269645171,40.3487734521608,40.7466316162038,40.7179720722044,40.7104407776441,40.6724762001124,40.5981411509917,40.6673994056816
1080,40.5936326379792,40.3064517072288,40.306445210816,40.306416293439,0,1,1,0,40.6884891668657,40.3599235270689,40.5205420183746,40.3093920713714,40.366453326435,40.3827121643408,40.3897827691911,40.4012324639372,40.4120571296726,40.4204947925908,40.6910944958708,40.6606478762081,40.6579480388893,40.6437120485534,40.6013134943701,40.6029723445514,40.5116582038495,40.3075247623947,40.4739721633451,40.6289165042368,40.6927308073191,40.6084894443887,40.5651705112674,40.5891929133942
1110,40.618778176812,40.3065007963928,40.3064210353976,40.3065580158918,0,0,0,1,40.6582188623519,40.4147702383972,40.4048091549006,40.6026490074135,40.5626185519127,40.5274320776942,40.515672843555,40.5016736828816,40.5027628911213,40.4905929171701,40.6615634836195,40.614196392803,40.6107055089198,40.5899627272448,40.5546991505475,40.5459876871389,40.3067378685612,40.3855428874925,40.5895420154582,40.6553705355531,40.6322644590147,40.5522925997432,40.4911890647965,40.4846039112027
1140,40.5868289037951,40.3064476237219,40.3064400407581,40.3063187685288,0,1,0,0,40.3659076951112,40.4895666049946,40.5047235629463,40.3083302808407,40.3854127915636,40.428430584708,40.4710094677688,40.5094780648617,40.5273745921055,40.5235597026547,40.6474974923666,40.5836993087215,40.5826920076995,40.5689041257696,40.5719832766367,40.5691933783213,40.4645757875689,40.4785414776246,40.5984729750588,40.6280624464271,40.6413319257016,40.5281930541219,40.4842292695828,40.4848961450493
1170,40.527321314308,40.3063480566349,40.3064295767907,40.3064636515979,0,1,0,0,40.5724986479732,40.5232668773317,40.5235831583259,40.3090966565774,40.3192624891214,40.3394941588916,40.3727828632813,40.4331493931058,40.4789620194526,40.496745941886,40.6235625798561,40.5651955765772,40.5613418473384,40.5603350731506,40.5737374338859,40.5551048259254,40.4959913691141,40.3601755556702,40.5799374925167,40.6052458563941,40.6293362664252,40.5187419317025,40.4924145857925,40.4864997628638
1200,40.4974629189276,40.3063730337531,40.3064418967689,40.3064184352167,0,1,1,0,40.5712474769259,40.3258156603928,40.4975636231171,40.3094661646905,40.3357321161508,40.3390513542057,40.3474977385327,40.3795558589659,40.4189633143884,40.4479950880417,40.5906377354049,40.5505905565072,40.5490189479587,40.5520038168226,40.5584587357891,40.5263425570704,40.4614791988202,40.3065211219489,40.4471036199853,40.503627380203,40.594555639806,40.5108790555782,40.5021397892795,40.4950363010206
1230,40.4954053643891,40.306528711173,40.3064348043689,40.306582889773,0,0,0,1,40.5654873501936,40.377226655548,40.4103119086286,40.346933615013,40.4569333852775,40.4029546971207,40.3915327259713,40.4063816016507,40.4448135996093,40.4589015046666,40.5581159080452,40.526977305983,40.519668447454,40.5086899737577,40.4683825001106,40.4041901432933,40.3065087354385,40.3362679908032,40.5355115387774,40.5517052033582,40.5822514491269,40.5035531516723,40.4844271704056,40.4899931545632
1260,40.4765992643722,40.3064604759406,40.3064456492676,40.3063520383312,0,1,0,0,40.3319797770977,40.463432109453,40.4409314772385,40.3070516877159,40.343695969057,40.3615883847598,40.3780599417099,40.401994048975,40.4394711735775,40.455757067476,40.5348835747479,40.5080097386674,40.501200504601,40.4939292788326,40.4538773933075,40.4324057056805,40.408274261874,40.4098950956549,40.5404514384003,40.5621088235503,40.5640480099333,40.5042098597018,40.4806917243278,40.4883222944768
1290,40.4451743157969,40.3063457859263,40.3064817474339,40.3064346898277,0,1,1,0,40.4725373711303,40.3290707255346,40.4470278950786,40.3069946637792,40.3100369257428,40.3209932249917,40.329981002059,40.3509272090099,40.3830259016635,40.4266502390521,40.5107442994285,40.4938760734145,40.4875581417187,40.4779260645926,40.4510976326775,40.4490109841421,40.4223123043071,40.3115729679016,40.4228120558895,40.4912077142166,40.5525689439917,40.4832286733757,40.4654571526542,40.4860900560767
1320,40.4279396490413,40.3065359488045,40.3064714907136,40.3065502864862,0,0,1,0,40.4803703128798,40.4560999102166,40.4426307499262,40.4521652408519,40.3755011215077,40.3818802021122,40.3674294234627,40.3685964220798,40.3993110916614,40.4202430736285,40.4967823404019,40.4817665029231,40.4746663135823,40.4654482801981,40.4517692106056,40.45261939944,40.4045057226171,40.3082704055237,40.3411429281776,40.3732432658574,40.4572949430066,40.48738438818,40.475522044357,40.4769231825204
1350,40.4188028307678,40.3064304377007,40.3064375483732,40.3064857950632,0,0,0,1,40.4905125376148,40.4635531303351,40.3496514464984,40.3888549709312,40.4549270533999,40.4222043780458,40.403994684269,40.3838582828925,40.4032394005252,40.4189805322716,40.4868287237654,40.4706440285605,40.4607052183376,40.4438110919273,40.4016871308589,40.3562539295288,40.3056707209786,40.3946186068503,40.3947769852393,40.4373228329425,40.4860042248868,40.4541639484227,40.438768977771,40.4707913267256
1380,40.4108618247487,40.3065036009822,40.3064420937618,40.3063639967604,0,1,0,0,40.33896624639,40.4813368462289,40.4037385484082,40.3079234149637,40.3487236031551,40.3891332009805,40.4171486616648,40.4044469558215,40.4065185681524,40.4169701537411,40.4712338136774,40.4645166769564,40.4523769931297,40.4297056013573,40.396268230852,40.4047953266992,40.3698851258641,40.3714866526783,40.4488389356916,40.4434845409317,40.4884105505229,40.4354894083055,40.4181569217598,40.4604109104812
1410,40.4059547741429,40.3063087699652,40.3065036143134,40.3064070326249,0,0,1,0,40.3880960600127,40.3513905865474,40.4108991769244,40.3645958056451,40.3805420356352,40.391539628007,40.4137142187891,40.4150767845287,40.4121898745797,40.4161646653104,40.4645138059689,40.4571120336417,40.4410276400484,40.4151229928501,40.3985906463362,40.420834905193,40.383553984651,40.3193932641319,40.3585428516994,40.4190120434889,40.4788063435585,40.4329162211457,40.4125155386466,40.450719499392
1440,40.4036881924427,40.3065163491949,40.3064995536696,40.3064932805589,0,0,1,0,40.3902838956571,40.4256337013769,40.4020032589402,40.3281846819822,40.4044901081042,40.4088359529315,40.4133390420236,40.4195791169268,40.4163070920397,40.4167751894693,40.4592584065058,40.4426266392865,40.4241038805253,40.4065436413237,40.4069611287029,40.4151929643418,40.364794259373,40.3088375332072,40.3545088613584,40.3658760788387,40.4395945495532,40.4460213531502,40.4244556334639,40.4460760707014
1470,40.4028679028801,40.3064142064832,40.3064846029434,40.3064141426174,0,0,1,0,40.3947894193999,40.4394472484361,40.3940521104181,40.345770632349,40.4163313874421,40.4175084325592,40.414285576449,40.4211582659801,40.4190255736413,40.4175795777893,40.4502547252601,40.4270730257724,40.414897068783,40.4102247355969,40.4159645777974,40.4147722276381,40.3645998908543,40.3076743998286,40.3684769288441,40.3706470171476,40.3852675394367,40.4314026367086,40.4288874253173,40.4459867162722
1500,40.4035289102248,40.3063863267056,40.3064647504256,40.3063908784109,0,0,1,0,40.3984813402563,40.4425541331376,40.4012089240752,40.3179137190483,40.4193669203656,40.4175722223128,40.4160533710834,40.4226580418919,40.4217770507778,40.4189903750016,40.4434787521822,40.4192663154925,40.4156673340574,40.4166425980736,40.4204040964675,40.4182628380927,40.3729126235981,40.3076230009803,40.3703047824366,40.3757934752738,40.3768989247892,40.3957914432071,40.4055486373092,40.4394251048997
