"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
1170,41.1058327747289,40.3064660269541,40.3064525869982,40.3064475598175,0,1,1,1,41.2641302402451,41.5450719037589,41.0531420580062,40.485258007394,40.5579385028633,40.7734697808412,41.1163098273176,41.0720837629688,40.9485961115043,40.8495146772755,41.2814438079846,41.8164695604214
1200,41.1277808052486,40.3064684541193,40.306463436996,40.3064544627942,0,1,1,1,41.1148557222612,41.1632903882924,40.9218591386816,40.5112686734532,40.5431778674367,40.6487893768943,41.1252036520803,41.2853074640898,40.9346537707814,40.6581036244173,41.1116789780396,41.5822313876347
1230,41.1145213681868,40.3064539868894,40.3064517666593,40.3064324256242,0,1,1,0,41.0859848078772,41.0278078250354,40.87618666012,40.5337511823857,40.5998236855514,40.6550459952167,41.2068859213841,41.2872258400174,41.0436017317121,40.5610006401749,40.8388229324972,41.3586484079135
1260,41.0986549977704,40.306467330497,40.306456903145,40.3064491687767,0,1,1,0,41.0710927285341,41.0091890419217,40.8134611512774,40.5028398549706,40.6266825920742,40.6938371354577,41.1749112767553,41.1420599234224,40.9590177612543,40.5368782941353,40.6877190753978,41.1127850606526
1290,41.0825025880527,40.3064588352287,40.30642845575,40.3064359693232,0,1,0,0,41.0333285275393,41.0057842732181,40.7608897698995,40.4560649951671,40.5882362942162,40.6773719909841,41.1206235820839,41.0149621274878,40.9189086290877,40.9376029417967,40.9114501897447,41.0513176252248
1320,41.0530538922782,40.3064630987477,40.3064392224342,40.3064389264461,0,1,0,0,40.9834532177638,40.9792960144307,40.7233333478003,40.4292167387276,40.5178376722708,40.6159608103134,41.032823039276,40.9256046251557,40.8346523431064,41.0485509664243,41.0408772275607,41.0416190891477
1350,41.017924100126,40.3064214388791,40.3064347749075,40.3064231539835,0,0,0,0,40.9478948432564,40.9910444482499,40.7689190958478,40.7905076280931,40.7573996568714,40.7723589951951,40.9744039126146,40.8967132327311,40.9186122594576,41.045234966134,41.0772279368327,41.0347133328864
1380,40.991087298182,40.306437243823,40.3064383160764,40.3064355858952,0,0,0,0,40.9260273788251,40.997747066794,40.8036297336877,40.9048859529083,40.8769867739648,40.8500635433784,40.9365977353905,40.8938143191145,40.9596254992158,41.0430184169153,41.0803598422631,41.0398376698831
1410,55.6015396369417,40.306472759181,40.3064361286146,40.3064464674853,1,0,0,0,46.4180572073754,46.1218659603523,47.1807925581635,52.0222134903,54.8844898804515,52.2458310825425,48.1753747468615,41.0310575670361,47.6402344200984,46.2708176351476,43.3286577003177,45.5304741087801
1440,51.0547909724754,40.3064933834881,40.3064928232244,40.3065467306207,0,3,3,3,40.4889363293765,40.9416383062061,41.9151676624844,42.6601448154756,49.9536176740117,52.1357658991002,45.0176586285696,41.687256444159,46.2154143755,43.2398684736127,43.8598540742328,42.2481359408785
1470,47.0526025880207,40.3067009857683,40.3065755707063,40.3065044121632,0,1,1,1,40.5477092995829,42.8404659013182,47.2282411751113,42.5639723712942,46.4798940393372,50.4294495871898,44.1373184033543,43.1796099766439,46.0504217377564,43.6856756007931,43.3046691253708,43.5103863822611
1500,46.5300310922881,40.306360720952,40.306393386761,40.3064561986697,0,0,1,3,41.3231339348006,43.0854621257738,46.944477190616,44.5757973476628,46.973370457601,49.6500633857218,43.6061203986902,43.1880819583618,41.3137195442986,41.2319105440444,43.2837681989759,42.1986860621897
