"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
360,40.5363636968914,40.3059438772904,40.3060777221631,40.3058370152999,0,2,0,0,40.5503383763082,40.7836272746326,40.7080100481503,40.3608636886768,40.5503214120493,40.6057747130644,40.8692860603954,40.8882830295119,40.6838655143617,40.7397563560627,40.724244865111,40.7214747562439
390,40.5826452568062,40.3064225180705,40.3065255944804,40.3065331472583,0,2,0,0,40.7256890296032,40.7286022005464,40.5880046005829,40.3799947761422,40.4089969958884,40.4979044028897,40.8349944219791,40.8546996300992,40.790063142767,40.7099019552562,40.6644611488913,40.6198316860516
420,40.6401302975047,40.3064621567587,40.3064284799678,40.3065103451216,0,1,0,1,40.6986858647857,40.6542520846219,40.5053604363125,40.4678093502874,40.5324992696408,40.5658908048944,40.8351799756238,40.8326521709443,40.7319252737343,40.6537651677835,40.5918550949166,40.5333927687718
450,40.6244460210881,40.306569929889,40.3064367165306,40.3063120174235,0,2,0,0,40.6652168602464,40.6332642882401,40.5074831564233,40.3898893843372,40.4903666756277,40.5211397502776,40.8313699989264,40.8067967023885,40.6814142054389,40.6190368367797,40.5664019257506,40.5359173147415
480,45.3942701593263,40.3064420285316,40.3064374160814,40.3065638144226,1,2,0,0,42.7588067189222,41.6222891716851,43.6780344830389,40.9737078791183,43.9819700262097,44.7315244887519,41.051152174509,41.4909012570608,42.05297260147,41.8189817073656,41.7415406797532,42.9771195785307
510,43.7053101491948,40.3064102580155,40.3064715087609,40.3068504518791,0,1,3,3,42.6304256039477,40.3324588182757,41.3291526694861,41.3281200727206,41.5313651294778,43.0061985241223,41.0308193781815,41.3117175664029,42.2135696743807,40.5542267593092,40.9603309220285,41.7525219400496
540,42.1097607271506,40.3074019891179,40.306511586115,40.3063044579621,0,2,1,3,41.8813325345718,41.1558555387557,41.763019343126,40.6787902073676,41.3582020130819,42.0833196842584,41.3761084534774,41.6494898138721,41.0632633790876,40.8383013453624,40.9336457357947,41.1765700137429
570,41.3225677241809,40.3061561501111,40.3063263964422,40.3059073456364,0,2,1,3,41.516775744721,41.3137534255664,41.5330319575754,40.6122941206649,40.8822735024865,41.4180584650889,40.947277292784,40.7355079624529,40.5784054383365,40.6199020002386,40.973742112662,41.1381869394502
600,40.9139388728685,40.3065466314726,40.3064852593791,40.3066090956586,0,1,0,2,41.1261088345627,41.0081596750861,41.2091754823227,40.5369777423689,40.6927220878024,41.1301903503243,40.6440225125615,40.5713941071141,40.5425570136393,40.9404160534009,41.0009889118704,41.2065618284174
630,40.8875735750618,40.3064758899422,40.3064600732952,40.3063936641232,0,0,0,0,40.9021058330567,40.9042454567001,41.1144507089288,40.835062730586,40.8951756972064,40.9552893183453,40.7746962989477,40.8825408465994,41.0046085190929,40.9298461265867,41.0906156928112,41.1456472794288
660,40.8057342154936,40.3064830353496,40.3064297813113,40.3065303718776,0,1,0,1,40.3429615290407,40.950209985745,40.4529821025006,40.5434745031983,40.7988297964797,40.8997725659543,40.9012129914269,40.9512814948303,40.9819689338336,40.9749541585464,41.0366867560056,40.7855110967428
690,40.5653858445345,40.3063350285672,40.3064358206292,40.3063270138331,0,1,0,1,40.8285734284549,40.9600235100784,40.7436545017195,40.3356305489468,40.5074265259012,40.7080849283214,40.9121222402454,40.8558572337649,40.7814871276473,40.9781420920786,40.9771414462293,40.7442602528845
720,40.5421763352067,40.3064381911599,40.3064404383631,40.3064083606489,0,2,0,0,40.8623662219618,40.9444653773987,40.675022972565,40.3633411181891,40.3749458094493,40.4721507337775,40.9037000497288,40.8568176097916,40.779695364789,40.969550842499,40.9537719891745,40.8296002164838
750,40.6203182848248,40.3064486228747,40.3064371594832,40.3065139496932,0,1,0,1,40.8836803195993,40.9075193763816,40.3966682689077,40.4894876547871,40.4940494746174,40.5019139979478,40.8117035338351,40.7371690755617,40.7017482853697,40.9647699620559,40.8896233119578,40.6099233888306
780,40.6312476052786,40.3065602829077,40.3064368860099,40.306371628638,0,2,0,0,40.8419759773534,40.8686189724007,40.4691809843964,40.3586865537783,40.4178202729393,40.4486247478891,40.7233039333361,40.665678548693,40.622920992882,40.951507756848,40.857179767628,40.5647480034656
810,40.6614559660422,40.3064011619385,40.3064377193861,40.3064633669423,0,2,0,0,40.815996944208,40.8752553171889,40.5375874896684,40.3991006772837,40.4473069611087,40.4758137845217,40.6404507960474,40.601480208161,40.5777208146568,40.8839891596349,40.7001556328717,40.5371494225594
840,40.6165193698558,40.3066181869361,40.3064373436694,40.3064271977748,0,2,0,0,40.7423697686048,40.8669965850784,40.5440347864833,40.3669450333566,40.3772106073404,40.4531661302082,40.5905878468222,40.5618440249258,40.5386262881717,40.7667706100813,40.6150038619657,40.5331111001225
870,40.5737472207808,40.3065327334281,40.306437275755,40.3064341853633,0,2,0,0,40.7258979238386,40.8236534010833,40.5152046702495,40.3866591417861,40.4011582109593,40.4462709711017,40.5511009279154,40.5394874992385,40.5219914997394,40.6304769470828,40.5524973771724,40.5240807051005
900,40.5272140795146,40.3064311622559,40.3064374077081,40.3064499906765,0,0,0,0,40.695228892241,40.808240487458,40.5302958962815,40.6041364562758,40.5672404518858,40.532861643443,40.5868484636372,40.5308540891144,40.5349653193221,40.5966043938865,40.528134718976,40.5231685992501
930,40.5386775105624,40.3065309494034,40.3064378354626,40.3064367398305,0,2,0,0,40.3243095471279,40.7109174690561,40.5343655042638,40.5057182771066,40.5794817754554,40.549674840512,40.506608391879,40.5387176331497,40.541007751937,40.5838796061405,40.5606767892584,40.5316341486518
960,40.546902293147,40.3062428866213,40.3064374932034,40.3064365661939,0,0,0,0,40.4284577563857,40.6497240288271,40.5389855528336,40.5366630099241,40.5618809277294,40.5460638366057,40.5168252730769,40.5470543029597,40.5452935478068,40.61440967492,40.568318714146,40.5419157269187
990,40.5492147746245,40.3065387595771,40.3064374238865,40.3064353785578,0,0,0,0,40.4739621025436,40.5959441500006,40.5420574099889,40.5329247922171,40.5492460914101,40.5434542760897,40.5241307458042,40.5463198580233,40.54579799827,40.6150620318968,40.594576542979,40.5469989930249
1020,40.5455747748667,40.30666155959,40.3064375212123,40.3064396820623,0,2,0,0,40.3764356082282,40.4721218224425,40.5420883155988,40.3822853718356,40.5437262594546,40.5423207134933,40.4961957355395,40.5373734172851,40.54564700863,40.4792572633206,40.5546707787329,40.5419077117443
1050,40.5440713004465,40.3060390618397,40.3064373094594,40.306432812158,0,0,0,0,40.4267158925195,40.4359592659123,40.5426528667916,40.4112846932271,40.5450775387887,40.543035628915,40.5063564237513,40.5403746015648,40.5450368059005,40.4519501022584,40.5285240108744,40.5474394281362
1080,40.542246024973,40.3067152320878,40.3064374341304,40.3064382346946,0,0,0,0,40.4733867573766,40.4329852914233,40.543951705937,40.4376914887907,40.5447733410745,40.5435948075913,40.508865464611,40.5404727691812,40.5439154157021,40.4491413687795,40.5118176330273,40.5442542148408
1110,40.5358323785579,40.3065173344947,40.3064375260593,40.3064374596093,0,0,0,0,40.5009139429198,40.4520085269052,40.5428433992142,40.4533990447687,40.5443401552406,40.5437776961353,40.5195097650303,40.5400636175233,40.5432419909723,40.4465859743928,40.5036322917741,40.5369375542179
1140,40.4973635704973,40.3067134167929,40.3064375694862,40.306438744422,0,2,0,0,40.3107134633697,40.422144656837,40.5437588062919,40.3382884414279,40.5114600350887,40.5407859555244,40.5156215440722,40.5365718446817,40.5416728822476,40.4464861548002,40.4727866439723,40.5403817130657
1170,40.4553334311147,40.3061036438835,40.3064374868727,40.3064347410535,0,0,0,0,40.4121279297319,40.416776452006,40.5409293990126,40.3887185168233,40.4897184929713,40.5411652927699,40.5258520408241,40.536778886725,40.5414284556739,40.4299953777313,40.4566030867539,40.5268700188598
1200,40.4269408314155,40.3065784731149,40.3064373237324,40.3064376070591,0,0,0,0,40.4652072079101,40.4389257051992,40.5361118151637,40.4187551900148,40.4496184647154,40.5272803771941,40.5278160816622,40.5383759994319,40.5405296857451,40.4252938115272,40.446756496635,40.5119255726164
1230,40.4150858264513,40.3064497701182,40.3064374189863,40.3064377371634,0,0,0,0,40.4746606290213,40.4606443611258,40.5300503179075,40.4372548743364,40.4310538737515,40.4968089994511,40.5291056796628,40.5395740206545,40.5380147871983,40.4298366971285,40.4407473160604,40.496301865992
1260,40.4130488051029,40.3064272132307,40.3064374197411,40.3064376808526,0,0,0,0,40.4952681253144,40.4767806552392,40.5230049908155,40.4517100709014,40.4354834946926,40.4594969112629,40.5305175950653,40.5397283639305,40.5341385635677,40.4421877732334,40.4368525112858,40.4812948508203
1290,40.4148173430435,40.3064392513109,40.3064374868588,40.3064374922324,0,0,0,0,40.497372691494,40.4893273098758,40.5166449042007,40.4599863602238,40.4482768661456,40.4395328626117,40.5327304838334,40.5385654121734,40.530379509394,40.4600640291945,40.4376136794611,40.4686266549778
1320,40.4180777789523,40.3064383239309,40.3064375083857,40.3064375255315,0,0,0,0,40.5024535248799,40.5005972661023,40.510817859462,40.4680202942229,40.4660043865525,40.4348695698972,40.5347996880748,40.5356708127434,40.527551824084,40.4775374003521,40.4424126750026,40.459095935218
1350,40.422667773384,40.3064378004552,40.3064374939386,40.3064375045413,0,0,0,0,40.5049970930334,40.5096637876358,40.5062582842476,40.473991820989,40.4770699680873,40.4381679283635,40.5355742237507,40.5313739611084,40.5221409246536,40.4921669964185,40.4500886062196,40.4528113448821
1380,40.4287084185087,40.3064374712375,40.3064374732866,40.3064374523659,0,0,0,0,40.5076972960657,40.51474101205,40.5026102748087,40.476757612573,40.4820324594752,40.4448359844111,40.5350898101256,40.5264243312093,40.5114566103074,40.5032285739248,40.4590241611938,40.4495524011404
1410,40.4329098619674,40.3064843766718,40.3064374512186,40.3064377238296,0,2,0,0,40.3134150439361,40.4724267489277,40.5121493374536,40.3719408189066,40.4685782479025,40.4565309510117,40.4652057036146,40.5235289639125,40.5099571901197,40.4861287211313,40.4820769797129,40.4603864327697
1440,40.429289437178,40.3061110900824,40.3064373500572,40.3064357083556,0,0,0,0,40.3670424095427,40.4566921686841,40.5129693371278,40.4234599434073,40.4672370069371,40.4615859287611,40.5095056970913,40.5190861280377,40.4918157510462,40.4789224424275,40.4858105043106,40.4580758508673
1470,40.4213272238095,40.3064916033603,40.3064374051537,40.3064377820085,0,0,0,0,40.3777888943792,40.4540233028477,40.5112804815303,40.4215406950641,40.4576938143255,40.4646836430294,40.519258627206,40.5149121873369,40.4807072744695,40.4802604397404,40.4864855059864,40.4608830619396
1500,40.4140268050856,40.3064515466762,40.3064374379965,40.306437501936,0,0,0,0,40.3839648901324,40.4667520402357,40.508940857934,40.4330255199208,40.4538754801589,40.465411197549,40.5182884731864,40.5076684429706,40.4745973071391,40.4822114451779,40.4857021307703,40.466583099921
1530,40.4092718179918,40.3064327366942,40.3064374556828,40.3064375106094,0,0,0,0,40.3876200841433,40.4822219895728,40.5052618163826,40.4422432174066,40.4527832524559,40.4653220879937,40.5142813508269,40.4971682324846,40.4717086672868,40.4887785688753,40.4836005938896,40.4720112256968
